id,category_id,minihongo,reading,english,japanese,english_litteral,sort_order,audio_file
expr-1,cat-38,好【す】きな人【ひと】,,friend,友達,liked person,1,e_1_suhito.mp3
expr-2,cat-38,父【ちち】と母【はは】と子供【こども】,,family,家族,"father, mother, children",2,e_2_chichihahakodomo.mp3
expr-3,cat-38,教【おし】える人【ひと】,,teacher,先生,teaching person,3,e_3_oshihito.mp3
expr-4,cat-38,教【おし】えてもらう人【ひと】,,student,生徒,taught person,4,e_4_oshihito.mp3
expr-5,cat-38,体【からだ】を助【たす】ける人【ひと】,,doctor,医者,body-helping person,5,e_5_karadatasuhito.mp3
expr-6,cat-38,心【こころ】を助【たす】ける人【ひと】,,therapist,セラピスト,heart-helping person,6,e_6_kokorotasuhito.mp3
expr-7,cat-38,守【まも】る人【ひと】,,police,警察,protecting person,7,e_7_mamohito.mp3
expr-8,cat-38,戦【たたか】う人【ひと】,,soldier,兵士,fighting person,8,e_8_tatakahito.mp3
expr-9,cat-38,食【た】べ物【もの】を作【つく】る人【ひと】,,farmer,農家,food-making person,9,e_9_tamonotsukuhito.mp3
expr-10,cat-38,火【ひ】で食【た】べ物【もの】を作【つく】る人【ひと】,,cook,料理人,fire food-making person,10,e_10_hitamonotsukuhito.mp3
expr-11,cat-38,本【ほん】を書【か】く人【ひと】,,writer,作家,book-writing person,11,e_11_honkahito.mp3
expr-12,cat-38,よく知【し】る人【ひと】,,expert,専門家,well-knowing person,12,e_12_shihito.mp3
expr-13,cat-38,上【うえ】の人【ひと】,,boss,上司,above person,13,e_13_uehito.mp3
expr-14,cat-38,助【たす】ける人【ひと】,,helper,助手,helping person,14,e_14_tasuhito.mp3
expr-15,cat-38,物【もの】を持【も】って行【い】く人【ひと】,,thief,泥棒,thing-taking person,15,e_15_monomoihito.mp3
expr-16,cat-38,家【いえ】が近【ちか】い人【ひと】,,neighbor,隣人,house-near person,16,e_16_iechikahito.mp3
expr-17,cat-38,父【ちち】の父【ちち】,,grandfather,祖父,father's father,17,e_17_chichichichi.mp3
expr-18,cat-38,母【はは】の母【はは】,,grandmother,祖母,mother's mother,18,e_18_hahahaha.mp3
expr-19,cat-38,新【あたら】しい子供【こども】,,baby,赤ちゃん,new child,19,e_19_atarakodomo.mp3
expr-20,cat-38,年【とし】が多【おお】い人【ひと】,,old person,老人,many-year person,20,e_20_toshioohito.mp3
expr-21,cat-39,空【そら】の動物【どうぶつ】,,bird,鳥,sky animal,21,e_21_soradoubutsu.mp3
expr-22,cat-39,水【みず】の動物【どうぶつ】,,fish,魚,water animal,22,e_22_mizudoubutsu.mp3
expr-23,cat-39,とても大【おお】きくない動物【どうぶつ】,,insect,虫,very not-big animal,23,e_23_oodoubutsu.mp3
expr-24,cat-39,家【いえ】の動物【どうぶつ】,,dog,犬,house animal,24,e_24_iedoubutsu.mp3
expr-25,cat-39,大【おお】きくない家【いえ】の動物【どうぶつ】,,cat,猫,not-big house animal,25,e_25_ooiedoubutsu.mp3
expr-26,cat-39,速【はや】い大【おお】きい動物【どうぶつ】,,horse,馬,fast big animal,26,e_26_hayaoodoubutsu.mp3
expr-27,cat-39,長【なが】い動物【どうぶつ】,,snake,蛇,long animal,27,e_27_nagadoubutsu.mp3
expr-28,cat-39,海【うみ】のとても大【おお】きい動物【どうぶつ】,,whale,鯨,sea's very big animal,28,e_28_umioodoubutsu.mp3
expr-29,cat-39,山【やま】の強【つよ】い動物【どうぶつ】,,bear,熊,mountain strong animal,29,e_29_yamatsuyodoubutsu.mp3
expr-30,cat-39,木【き】の動物【どうぶつ】,,monkey,猿,tree animal,30,e_30_kidoubutsu.mp3
expr-31,cat-39,水【みず】と土【つち】の動物【どうぶつ】,,frog,蛙,water-and-earth animal,31,e_31_mizutsuchidoubutsu.mp3
