id,category_id,minihongo,reading,english,japanese,english_litteral,definition_minihongo,sort_order,audio_file
comp-1,cat-24,大人,おとな,adult,大人,大 + 人,大【おお】きくなった人【ひと】,1,c_otona.mp3
comp-2,cat-24,一人,ひとり,"one person, alone",一人,一 + 人,人【ひと】が一【ひと】つだけ,2,c_hitori.mp3
comp-3,cat-24,二人,ふたり,two people,二人,二 + 人,二【ふた】つの人【ひと】,3,c_futari.mp3
comp-4,cat-24,男女,だんじょ,men and women,男女,男 + 女,男【おとこ】と女【おんな】,4,c_danjo.mp3
comp-5,cat-24,男子,だんし,"boy, male",男子,男 + 子,男【おとこ】の子供【こども】,5,c_danshi.mp3
comp-6,cat-24,女子,じょし,"girl, female",女子,女 + 子,女【おんな】の子供【こども】,6,c_joshi.mp3
comp-7,cat-24,父母,ふぼ,parents,父母,父 + 母,父【ちち】と母【はは】,7,c_fubo.mp3
comp-8,cat-24,父子,ふし,father and child,父子,父 + 子,父【ちち】と子供【こども】,8,c_fushi.mp3
comp-9,cat-24,母子,ぼし,mother and child,母子,母 + 子,母【はは】と子供【こども】,9,c_boshi.mp3
comp-10,cat-24,長男,ちょうなん,eldest son,長男,長 + 男,一【いち】の男【おとこ】の子供【こども】,10,c_chounan.mp3
comp-11,cat-24,長女,ちょうじょ,eldest daughter,長女,長 + 女,一【いち】の女【おんな】の子供【こども】,11,c_choujo.mp3
comp-12,cat-24,新人,しんじん,newcomer,新人,新 + 人,新【あたら】しく来【き】た人【ひと】,12,c_shinjin.mp3
comp-13,cat-24,本人,ほんにん,the person in question,本人,本 + 人,その人【ひと】本当【ほんとう】,13,c_honnin.mp3
comp-14,cat-24,他人,たにん,"stranger, others",他人,他 + 人,他【ほか】の人【ひと】,14,c_tanin.mp3
comp-15,cat-24,知人,ちじん,acquaintance,知人,知 + 人,知【し】っている人【ひと】,15,c_chijin.mp3
comp-16,cat-24,名人,めいじん,"master, expert",名人,名 + 人,することがとても良【よ】い人【ひと】,16,c_meijin.mp3
comp-17,cat-24,悪人,あくにん,villain,悪人,悪 + 人,悪【わる】い人【ひと】,17,c_akunin.mp3
comp-18,cat-24,変人,へんじん,eccentric,変人,変 + 人,変【へん】な人【ひと】,18,c_henjin.mp3
comp-19,cat-24,青年,せいねん,young man,青年,青 + 年,年【とし】がまだ少【すこ】しの人【ひと】,19,c_seinen.mp3
comp-20,cat-24,人生,じんせい,human life,人生,人 + 生,人【ひと】が生【い】きること,20,c_jinsei.mp3
comp-21,cat-24,人物,じんぶつ,"person, character",人物,人 + 物,ある人【ひと】のこと,21,c_jinbutsu.mp3
comp-22,cat-24,人口,じんこう,population,人口,人 + 口,国【くに】にいる人【ひと】の多【おお】さ,22,c_jinkou.mp3
comp-23,cat-24,人手,ひとで,"workforce, help",人手,人 + 手,助【たす】ける人【ひと】の手【て】,23,c_hitode.mp3
comp-24,cat-24,人目,ひとめ,public gaze,人目,人 + 目,他【ほか】の人【ひと】の目【め】,24,c_hitome_24.mp3
comp-25,cat-24,日本人,にほんじん,Japanese person,日本人,日 + 本 + 人,この国【くに】の人【ひと】,25,c_nihonjin.mp3
comp-26,cat-24,外国人,がいこくじん,foreigner,外国人,外 + 国 + 人,外【そと】の国【くに】の人【ひと】,26,c_gaikokujin.mp3
comp-27,cat-25,大空,おおぞら,vast sky,大空,大 + 空,大【おお】きい空【そら】,27,c_oozora.mp3
comp-28,cat-25,青空,あおぞら,blue sky,青空,青 + 空,青【あお】い空【そら】,28,c_aozora.mp3
comp-29,cat-25,大木,たいぼく,large tree,大木,大 + 木,大【おお】きい木【き】,29,c_taiboku.mp3
comp-30,cat-25,木立,こだち,grove of trees,木立,木 + 立,木【き】が多【おお】く立【た】つ所【ところ】,30,c_kodachi.mp3
comp-31,cat-25,火山,かざん,volcano,火山,火 + 山,火【ひ】が出【で】る山【やま】,31,c_kazan.mp3
comp-32,cat-25,高山,こうざん,high mountain,高山,高 + 山,高【たか】い山【やま】,32,c_kouzan.mp3
comp-33,cat-25,山道,やまみち,mountain path,山道,山 + 道,山【やま】の道【みち】,33,c_yamamichi.mp3
comp-34,cat-25,山中,さんちゅう,in the mountains,山中,山 + 中,山【やま】の中【なか】,34,c_sanchuu.mp3
comp-35,cat-25,山口,やまぐち,mountain entrance,山口,山 + 口,山【やま】に入【はい】る所【ところ】,35,c_yamaguchi.mp3
comp-36,cat-25,近道,ちかみち,shortcut,近道,近 + 道,近【ちか】い方【ほう】の道【みち】,36,c_chikamichi.mp3
comp-37,cat-25,国道,こくどう,national highway,国道,国 + 道,国【くに】の大【おお】きい道【みち】,37,c_kokudou.mp3
comp-38,cat-25,水道,すいどう,water supply,水道,水 + 道,水【みず】が来【く】る道【みち】,38,c_suidou.mp3
comp-39,cat-25,水中,すいちゅう,underwater,水中,水 + 中,水【みず】の中【なか】,39,c_suichuu.mp3
comp-40,cat-25,海水,かいすい,seawater,海水,海 + 水,海【うみ】の水【みず】,40,c_kaisui.mp3
comp-41,cat-25,海上,かいじょう,on the sea,海上,海 + 上,海【うみ】の上【うえ】,41,c_kaijou.mp3
comp-42,cat-25,大海,たいかい,great ocean,大海,大 + 海,大【おお】きい海【うみ】,42,c_taikai.mp3
comp-43,cat-25,大雨,おおあめ,heavy rain,大雨,大 + 雨,とても多【おお】い雨【あめ】,43,c_ooame.mp3
comp-44,cat-25,大水,おおみず,flood,大水,大 + 水,水【みず】が多【おお】く出【で】ること,44,c_oomizu.mp3
comp-45,cat-25,大火,たいか,great fire,大火,大 + 火,大【おお】きい火【ひ】,45,c_taika.mp3
comp-46,cat-25,火口,かこう,volcanic crater,火口,火 + 口,火【ひ】が出【で】る口【くち】,46,c_kakou.mp3
comp-47,cat-25,強風,きょうふう,strong wind,強風,強 + 風,強【つよ】い風【かぜ】,47,c_kyoufuu.mp3
comp-48,cat-25,金山,きんざん,gold mine,金山,金 + 山,お金【かね】が出【で】る山【やま】,48,c_kinzan.mp3
comp-49,cat-26,日光,にっこう,sunlight,日光,日 + 光,太陽【たいよう】の光【ひかり】,49,c_nikkou.mp3
