english,minihongo,japanese,english_litteral,example_minihongo,example_english,page,category
"person, people",人,,"person, people",あの人は誰ですか。,,vocabulary,代名詞と人 (Pronouns & People)
"I, me",私,,"I, me",私は学生です。,,vocabulary,代名詞と人 (Pronouns & People)
you,あなた,,you,あなたは誰ですか？,,vocabulary,代名詞と人 (Pronouns & People)
who,誰,,who,誰が来ますか。,,vocabulary,代名詞と人 (Pronouns & People)
"man, male",男,,"man, male",あの男は大人です。,,vocabulary,代名詞と人 (Pronouns & People)
"woman, female",女,,"woman, female",あの女は母です。,,vocabulary,代名詞と人 (Pronouns & People)
child,子供,,child,子供は外で遊びます。,,vocabulary,代名詞と人 (Pronouns & People)
mother,母,,mother,母は食べ物を作ります。,,vocabulary,代名詞と人 (Pronouns & People)
father,父,,father,父は山に行きます。,,vocabulary,代名詞と人 (Pronouns & People)
thing (concrete),物,,thing (concrete),この物は何ですか。,,vocabulary,物と素材 (Objects & Materials)
"thing (abstract), matter",事,,"thing (abstract), matter",その事は必要です。,,vocabulary,物と素材 (Objects & Materials)
what,何,,what,何を食べますか。,,vocabulary,物と素材 (Objects & Materials)
stone,石,,stone,道に石があります。,,vocabulary,物と素材 (Objects & Materials)
"tree, wood",木,,"tree, wood",山に木があります。,,vocabulary,物と素材 (Objects & Materials)
"soil, earth",土,,"soil, earth",土の中に植物があります。,,vocabulary,物と素材 (Objects & Materials)
clothes,服,,clothes,新しい服を着ます。,,vocabulary,物と素材 (Objects & Materials)
book,本,,book,本を読みます。,,vocabulary,物と素材 (Objects & Materials)
money,お金,,money,お金で食べ物を買います。,,vocabulary,物と素材 (Objects & Materials)
water,水,,water,水を飲みます。,,vocabulary,自然 (Nature & Elements)
fire,火,,fire,火は暑いです。,,vocabulary,自然 (Nature & Elements)
hot (weather),暑い,,hot (weather),外は暑いです。,,vocabulary,自然 (Nature & Elements)
cold (weather),寒い,,cold (weather),外は寒いです。,,vocabulary,自然 (Nature & Elements)
air,空気,,air,外の空気はきれいです。,,vocabulary,自然 (Nature & Elements)
wind,風,,wind,外は風が強いです。,,vocabulary,自然 (Nature & Elements)
country,国,,country,この国は大きいです。,,vocabulary,自然 (Nature & Elements)
place,場所,,place,いい場所を探します。,,vocabulary,自然 (Nature & Elements)
outside,外,,outside,外に行きます。,,vocabulary,自然 (Nature & Elements)
sun,太陽,,sun,太陽は空にあります。,,vocabulary,自然 (Nature & Elements)
light,光,,light,太陽の光が見えます。,,vocabulary,自然 (Nature & Elements)
moon,月,,moon,夜、月が見えます。,,vocabulary,自然 (Nature & Elements)
sky,空,,sky,空が青いです。,,vocabulary,自然 (Nature & Elements)
mountain,山,,mountain,山に行きます。,,vocabulary,自然 (Nature & Elements)
sea,海,,sea,海はとても大きいです。,,vocabulary,自然 (Nature & Elements)
rain,雨,,rain,雨の日は外に行きません。,,vocabulary,自然 (Nature & Elements)
"road, way",道,,"road, way",道を行きます。,,vocabulary,自然 (Nature & Elements)
animal,動物,,animal,動物が好きです。,,vocabulary,生き物 (Living Things)
grass,草,,grass,草が緑です。,,vocabulary,生き物 (Living Things)
body,体,,body,体が強いです。,,vocabulary,体 (Body Parts)
head,頭,,head,頭で考えます。,,vocabulary,体 (Body Parts)
hand,手,,hand,手で物を持ちます。,,vocabulary,体 (Body Parts)
"foot, leg",足,,"foot, leg",足で動きます。,,vocabulary,体 (Body Parts)
eye,目,,eye,目で見ます。,,vocabulary,体 (Body Parts)
mouth,口,,mouth,口で食べます。,,vocabulary,体 (Body Parts)
ear,耳,,ear,耳で聞きます。,,vocabulary,体 (Body Parts)
nose,鼻,,nose,鼻で空気が入ります。,,vocabulary,体 (Body Parts)
"heart, mind",心,,"heart, mind",心が温かい人です。,,vocabulary,体 (Body Parts)
do,する,,do,何をしますか？,,vocabulary,動詞 (Verbs)
